Thresholds,Lambda,,,,,,,,,,,,
Same,0.5,0.822,0.042,0.136,0.862,0.091,0.047,0.949,0.001,0.05,0.955,0.001,0.044
Same,0.7,0.961,0,0.039,0.962,0,0.038,0.992,0,0.008,0.954,0,0.046
Different,0.5,0.776,0.082,0.142,0.788,0.179,0.033,0.917,0,0.083,0.949,0.002,0.049
Different,0.7,0.863,0,0.137,0.976,0,0.024,0.968,0,0.032,0.955,0,0.045
Same,0.5,0.496,0.421,0.083,0.432,0.539,0.029,0.808,0.14,0.052,0.8,0.161,0.039
Same,0.7,0.951,0.01,0.039,0.952,0.008,0.04,0.994,0,0.006,0.958,0,0.042
Different,0.5,0.392,0.508,0.1,0.276,0.702,0.022,0.707,0.224,0.069,0.683,0.287,0.03
Different,0.7,0.873,0.029,0.098,0.94,0.034,0.026,0.968,0,0.032,0.967,0,0.033
Same,0.5,0.098,0.88,0.022,0.079,0.915,0.006,0.148,0.843,0.009,0.158,0.833,0.009
Same,0.7,0.267,0.72,0.013,0.421,0.558,0.021,0.573,0.417,0.01,0.809,0.153,0.038
Different,0.5,0.122,0.836,0.042,0.06,0.932,0.008,0.126,0.859,0.015,0.129,0.866,0.005
Different,0.7,0.253,0.704,0.043,0.287,0.701,0.012,0.51,0.463,0.027,0.653,0.307,0.04
Same,0.5,0.291,0.676,0.033,0.294,0.687,0.019,0.587,0.396,0.017,0.624,0.349,0.027
Same,0.7,0.373,0.672,0.01,0.611,0.364,0.025,0.763,0.233,0.004,0.901,0.065,0.034
Different,0.5,0.25,0.683,0.007,0.199,0.785,0.016,0.525,0.438,0.037,0.522,0.454,0.024
Different,0.7,0.284,0.634,0.082,0.295,0.701,0.004,0.699,0.268,0.033,0.797,0.169,0.034
